HIDDEN,NAME,ALIVE,YEAR_OF_DEATH,HINT,DOB,F_D_N,CELEBRITY_TYPE,DOD,ID
,Cokie Roberts,,2019,Journalist and Author,12/27/1943,,,,10034
yes,Robert Evans,,2019,Head of Production at Paramount during The Godfather,6/29/1930,Fun,,,10035
,Rowdy Roddy Piper,,2015,Professional Wrestler,4/17/1954,Fun,,,10036
,Andre the Giant,,1993,Professional Wrestler,5/19/1946,,,,10037
,The Iron Shiek,,2023,Professional Wrestler,3/15/1942,Fun,,6/7/2023,10038
,Junkyard Dog,,1988,Professional Wrestler,11/14/1952,,,,10039
,Mean Gene' Okerlund,,2019,Professional Wrestling Announcer,12/19/1942,DONE,,1/2/2019,10040
,Hulk Hogan,ALIVE,,Professional Wrestler,8/11/1953,,,,10041
,Mean' Joe Greene,ALIVE,,NFL Player on the Pittsburgh Steelers,9/24/1946,,,,10042
,Ed 'Too Tall' Jones,ALIVE,,NFL Player on the Dallas Cowboys,2/23/1951,,,,10043
,Bushwick Bill,,2019,Geto Boys Rapper,12/8/1966,DONE,,,10044
yes,Willie D,ALIVE,,Geto Boys Rapper,11/1/1966,,,,10045
,Shock G aka Humpty,,2021,Digital Underground Rapper,8/25/1963,Fun,,4/22/2021,10046
,Aretha Franklin,,2018,Singer of 'Respect' and 'Think',3/25/1942,Fun,,8/16/2018,10047
,Stan Lee,,2018,Marvel Comics Publisher,12/28/1922,Fun,,,10048
,Harry Anderson,,2018,Judge on Night Court,10/14/1952,Fun,,,10049
,Stephen Hawking,,2018,Acclaimed English physicist who was also paralysed,1/8/1942,Fun,,,10050
,Tom Wolfe,,2018,Author of The Right Stuff and Bonfire of the Vanities,3/2/1930,DONE,,5/14/2018,10051
,Charles Krauthammer,,2018,Conservative poltical pundit,3/13/1950,Fun,,,10052
,Billy Graham,,2018,Minister and Evangelist,11/7/2018,Fun,,,10053
,R Lee Ermey,,2018,Sergeant in Full Metal Jacket,3/24/1944,Fun,,,10054
yes,Ursula LeGuin,,2018,Sci-Fi Author,10/21/1929,,,,10055
,Roger Moore,,2017,Played James Bond,10/14/1927,DONE,,5/23/2017,10056
,Sean Connery,,2020,Star of James Bond films and 'Hunt for Red October',8/25/1930,Fun,,10/31/2020,10057
,Roger Ailes,,2017,Chairman of Fox News,5/15/1940,Fun,,,10058
,Mary Tyler Moore,,2017,TV show actress,12/29/1936,DONE,,,10059
,Garry Shandling,,2016,Comedian and played Larry Sanders,11/29/1949,DONE,,,10060
,Don McLean,ALIVE,,American Pie' Singer ,10/2/1945,,,,10061
,Gene Wilder,,2016,Original Willy Wonka,6/11/1933,DONE,,,10062
,Richard Pryor,,2005,Comedian and Actor,12/1/1940,,,,10063
,Arnold Palmer,,2016,Golfer and iced tea + lemonade drinker,9/10/1929,Fun,,,10064
,Janet Reno,,2016,Former US Attorney General,7/21/1938,Fun,,,10065
,Gwen Ifill,,2016,PBS NewsHour Journalist,9/29/1955,,,,10066
,John Glenn,,2016,Astronaut and Senator,7/18/1921,Fun?,,,10067
,Harold Ramis,,2014,Egon in Ghostbusters,11/21/1944,Fun,,,10068
,Joe Paterno,,2012,Penn State football coach,11/21/1926,,,,10069
yes,Anthony Bourdain,,2018,Chef and TV star,6/25/1956,WW,,,10070
,Vidal Sassoon,,2012,Hairstylist and hair product titan,1/17/1928,DONE,,5/9/2012,10071
,Cat Stevens,ALIVE,,"Folk singer known for songs like ""Wild World' and 'Peace Train'",7/21/1948,,,,10072
,Dwight Gooden,ALIVE,,New York Mets Pitcher,11/16/1964,,,,10073
,Prince,,2016,Legendary singer and guitar player,6/7/1958,Fun,,,10074
,Jackson Browne,ALIVE,,Singer-Songwriter ,10/9/1948,,,,10075
,Mike Schmidt,ALIVE,,Phillies Baseball Player,9/27/1949,,,,10076
,Hank Aaron,,2021,Baseball Player and previous Home Run record holder,2/5/1934,DONE,,1/22/2021,10077
,Alan Thicke,,2016,Dad on Growing Pains,3/1/1947,Fun,,,10078
,Jackie Joyner-Kersee,ALIVE,,Olympic Track & Field Athlete,3/3/1962,,,,10079
,Florence Griffith Joyner,,1998,Olympic Track & Field Athlete,12/21/1959,,,,10080
,Robin Leach,,2018,Host of 'Lifestyles of the Rich and Famous',8/29/1941,DONE,,8/24/2018,10081
,Sherman Hemsley,,2012,Played George Jefferson,2/1/1938,,,,10082
yes,John Carpenter,ALIVE,,Director of 'Halloween' and 'Escape From New York',1/16/1948,,,,10083
,Ross Perot,,2019,Entrepreneur and US Presidential Candidate,6/27/1930,DONE,,7/9/2019,10084
,Ram Dass,,2019,Spiritual leader and former Harvard professor,4/6/1931,Fun,,,10085
,Tony Bennett,,2023,Singer of 'I Left My Heart in San Francisco',8/3/1926,Fun,,7/21/2023,10086
,Christopher Hewett ,,2001,Played Mr Belvedere,4/5/1921,,,,10087
,Emmanuel Lewis,ALIVE,,Played Webster on the TV show,3/9/1971,,,,10088
,Bob Uecker,ALIVE,,Announcer in the movie 'Major League' and real former player,1/26/1934,,,,10089
,Jerry Lee Lewis,,2022,Great Balls of Fire' Singer,9/29/1935,Fun,,10/28/2022,10090
,Charles Manson,,2017,Cult leader,11/12/1934,,,,10091
,Harvey Keitel,ALIVE,,The Wolf in Pulp Fiction,5/13/1939,,,,10092
,Frank Zappa,,1993,Eclectic rock star,12/21/1940,,,,10093
,Stevie Wonder,ALIVE,,Blind singer and keyboardist of 'I Just Called to Say I Love You',5/13/1950,,,,10094
,Grace Jones,ALIVE,,Model from Jamaica and James Bond actress,5/19/1948,,,,10095
,Gary Busey,ALIVE,,Point Break actor,6/29/1944,,,,10096
,Salman Rushdie,ALIVE,,Writer of 'Midnight's Children' and 'The Satanic Verses',6/19/1947,,,,10097
,Philip Roth,,2018,Writer of 'Portnoys Complaint' and 'The Human Stain',3/19/1933,Fun,,,10098
,John Updike,,2009,Writer of 'Rabbit Run' and 'The Witches of Eastwick',3/18/1932,,,,10099
yes,Susan Sontag,,2004,Writer and activist,1/16/1933,,,,10100
,F Lee Bailey,,2021,OJ Attorney,6/10/1933,Fun,,,10101
yes,Raffi,ALIVE,,Kid's music singer,8/8/1948,,,,10102
,Kirk Douglas,,2020,Spartacus actor and Michael's father,12/9/1916,Fun,,,10103
,John Prine,,2020,Folk singer-songwriter,10/10/1946,DONE,,4/7/2020,10104
,Jerry Jeff Walker,,2020,Country music singer and writer of Mr Bojangles,3/16/1942,DONE,,10/23/2020,10105
,Waylon Jennings,,2002,Country music singer and actor and Highwayman,6/15/1937,,,,10106
,Merle Haggard,,2016,Country music singer,4/6/1937,Fun,,,10107
,David Allan Coe,ALIVE,,Country music singer,11/6/1939,,,,10108
,Charley Pride,,2020,Country music singer,3/18/1934,Fun (Brene Brown potential ideal guest?),,,10109
,Kris Kristofferson,ALIVE,,Country music singer and actor and Highwayman,6/22/1936,,,,10110
,Nolan Ryan,ALIVE,,Baseball pitcher,1/31/1947,,,,10111
,Ann Richards,,2006,Governor of Texas,9/1/1933,,,,10112
,Earl Campbell,ALIVE,,Texas Longhorn Heisman Winner and NFL running back,3/29/1955,,,,10113
,Tom Landry,,2000,Dallas Cowboys coach,9/11/1924,,,,10114
yes,Cedric Benson,,2019,Texas Longhorn running back,12/28/1982,,,,10115
,Johnny Carson,,2005,Late night talk show host,10/23/1925,,,,10116
,Paul Allen,,2018,Cofounder of Microsoft along with Bill Gates,1/21/1953,Fun,,,10117
,Lee Iacocca,,2019,Chrysler Corporation CEO,10/15/1924,Fun,,,10118
,Hunter S Thompson,,2005,Fear and Loathing in Las Vegas' author,7/18/1937,,,,10119
,Bob Ross,,1995,Painter of happy clouds on television,10/29/1942,,,,10120
,Joni Mitchell,ALIVE,,Folk singer,11/7/1943,,,,10121
,Larry McMurtry,,2021,Author of 'Lonesome Dove',6/3/1936,DONE,,3/25/2021,10122
,Noam Chomsky,ALIVE,,Philosopher and Cognitive Scientist,12/7/1928,,,,10123
,Hugo Chavez,,2013,Socialist President of Venezuela,7/28/1954,Fun?,,,10124
,Jermaine Jackson,ALIVE,,Older brother of Michael and member of The Jackson 5,12/11/1954,,,,10125
,Julio Iglesias,ALIVE,,Singer and father of Enrique,11/23/1943,,,,10126
,Ruth Bader Ginsburg,,2020,Supreme Court Justice,3/15/1933,DONE,,9/18/2020,10127
,Henry Kissinger,,2023,Former US Secretary of State,5/27/1923,Fun,,11/29/2023,10128
,Oliver North,ALIVE,,Key figure in Iran Contra scandal,10/7/1943,,,,10129
,George Wendt,ALIVE,,Norm' on Cheers,10/17/1948,,,,10130
,Tim Curry,ALIVE,,English actor and singer not a basketball player,4/19/1946,,,,10131
,Julia Childs,,2004,PBS chef,8/15/1912,,,,10132
,Tim Conway,,2019,Comedy actor known for the Dorf series,12/15/1933,Fun,,,10133
,Carol Burnett,ALIVE,,Comedy actress and star of her own variety show,4/26/1933,,,,10134
,Leonard Cohen,,2016,Singer-songwriter known for 'Hallelujah',11/21/1934,DONE,,,10135
,Julius Erving,ALIVE,,Basketball Dr J,2/22/1950,,,,10136
,Neil Diamond,ALIVE,,Singer of 'Sweet Caroline' and 'Song Sung Blue',1/24/1941,,,,10137
,Refrigerator Perry,ALIVE,,Chicago Bears football player,12/16/1962,,,,10138
,Billie Jean King,ALIVE,,Tennis player,11/22/1943,,,,10139
,Rubin 'Hurricane' Carter,,2014,Falsely accused boxer made famous by Dylan song,5/6/1937,,,,10140
,Casey Kasem,,2014,Radio personality,4/27/1932,DONE,,6/15/2014,10141
,Dick Clark,,2012,Radio and TV personality,11/30/1929,DONE,,,10142
,Philip Seymour Hoffmann,,2014,Actor known for 'Capote' and 'Charlie Wilson's War' ,7/23/1967,DONE,,,10143
,Bill Buckner,,2019,Baseball player known for 1986 World Series error,12/14/1949,DONE,,,10144
,David Koch,,2019,Half of the Koch brothers and funders of conservative causes,5/3/1940,Fun,,,10145
,Verne Troyer,,2018,Mini Me from 'Austin Powers',1/1/1969,Fun,,,10146
,Kumar Pallana,,2013,Pagoda in The Royal Tannenbaums,10/23/1918,Fun,,,10147
,Muhammad Ali,,2016,Boxer,1/17/1942,DONE,,6/3/2016,10148
,Kareem Abdul-Jabbar,ALIVE,,Basketball Player,4/16/1947,,,,10149
,Fred Willard,,2020,Best in Show actor,9/18/1933,DONE,,,10150
,Monte Hall,,2017,Host of Let's Make a Deal,8/25/1921,Fun,,,10151
,Harper Lee,,2016,To Kill A Mockingbird' author,4/28/1926,Fun,,,10152
,Nancy Reagan,,2016,First lady and wife to Ronald,4/6/1921,Fun,,,10153
,Bubba Smith,,2011,Football Player and star of 'Police Academy' movies,2/28/1945,,,,10154
,Bo Jackson,ALIVE,,Played pro football and baseball at same time,11/30/1962,,,,10155
,Mel Brooks,ALIVE,,Comedy director of 'The Producers'  'Blazing Saddles' and 'Spaceballs',6/28/1926,,,,10156
,James Earl Jones,ALIVE,,Actor with singature deep voice,1/17/1931,,,,10157
,Richard Simmons,ALIVE,,Excercise guy,7/12/1948,,,,10158
,Diego Maradona,,2020,Argentine soccer superstar,10/30/1960,DONE,,11/25/2020,10159
yes,Lawrence Ferlinghetti,,2021,Beat poet,3/24/1919,Fun,,,10160
,Rush Limbaugh,,2021,Conservative Radio Host,1/12/1951,Fun,,2/17/2021,10161
,Dustin Diamond,,2021,Played Screech on 'Saved By The Bell',1/7/1977,Fun,,2/1/2021,10162
yes,Chick Corea,,2021,Jazz Pianist,6/12/1941,,,,10163
,Judge Lance Ito,ALIVE,,Judge on the OJ trial,8/2/1950,,,,10164
,Bea Arthur,,2009,Dorothy on Golden Girls,5/13/1922,,,,10165
,Betty White,,2021,Rose on Golden Girls,1/17/1922,DONE,,12/31/2021,10166
,Rue McClanahan,,2010,Blanche on Golden Girls,2/21/1934,,,,10167
,Estelle Getty,,2008,Sophia on Golden Girls,7/25/1923,,,,10168
,Bob Barker,,2023,Host of 'The Price is Right',12/12/1923,Fun,,8/26/2023,10169
,Jim Brown,,2023,Football running back and actor and activist,2/17/1936,Fun,,5/18/2023,10170
,James Brown,,2006,Godfather of Soul who feels good,5/3/1933,,,,10171
,Clint Eastwood,ALIVE,,Dirty Harry,5/31/1930,,,,10172
,Bernie Madoff,,2021,Ponzi Scheme fraudster,4/29/1938,,,4/14/2021,10173
,Carrie Fisher,,2016,Princess Leia in Star Wars,10/21/1956,DONE,,,10174
,Debbie Reynolds,,2016,Actress in 'Singing in the Rain' and 'The Unsinkable Molly Brown',4/1/1932,,,,10175
,Angela Lansbury,,2022,Star of 'Murder She Wrote',10/16/1925,DONE,,10/11/2022,10176
,Gene Siskel,,1999,Fim Critic,1/26/1946,,,,10177
,Roger Ebert,,2013,Fim Critic,6/18/1942,DONE,,4/4/2013,10178
,Larry Bird,ALIVE,,Basketball Player for the Celtics,12/7/1956,,,,10179
,James Taylor,ALIVE,,Singer-songwriter who has seen Fire and Rain,3/12/1948,,,,10180
,Jackie Mason,,2021,Comedian and TV show actor,6/9/1928,,,,10181
,Burt Bacharach,,2023,Pop Singer known for  'That's What Friends Are For',5/12/1928,Fun,,2/9/2023,10182
,John McCain,,2018,US Republican Presidential candidate in 2012,8/29/1936,Fun,,,10183
,George Clinton,ALIVE,,Funk music star,7/22/1941,,,,10184
,Yogi Berra,,2015,Baseball player and coach,5/12/1925,DONE,,9/22/2015,10185
,Pete Rose,ALIVE,,Defamed Baseball Player,4/14/1941,,,,10186
,Bill Russell,,2022,Basketball player for the Celtics and later coach,2/12/1934,DONE,,7/31/2022,10187
,Johnny Unitas,,2002,Football Player,5/7/1933,,,,10188
,Bart Starr,,2019,Football Player,1/9/1934,Fun,,,10189
,Carlton Fisk,ALIVE,,Baseball player,12/26/1947,,,,10190
,George Foreman,ALIVE,,Boxer,1/10/1949,,,,10191
,Sugar Ray Leonard,ALIVE,,Boxer,5/17/1956,,,,10192
,Joe Frazier,,2011,Boxer,1/12/1944,,,,10193
,George Steinbrenner,,2010,New York Yankees owner,7/4/1930,,,,10194
,Johnny Bench,ALIVE,,Baseball player,12/7/1947,,,,10195
,Mickey Mantle,,1995,Baseball player,10/20/1931,,,,10196
,Tommy John,ALIVE,,Baseball player with surgery namesake,5/22/1943,,,,10197
,Tom Seaver,,2020,Baseball player,11/17/1944,,,,10198
,Willie Mays,ALIVE,,Legendary baseball player for the Giants and Mets,5/6/1931,,,,10199
,Zsa Zsa Gabor,,2016,Hungarian-American Actress and Socialite,2/6/1917,DONE,,12/18/2016,10200
,Eva Gabor,,1995,Star of TV Show 'Green Acres',2/11/1919,,,,10201
,Charles Schwab,ALIVE,,Banker,7/29/1937,,,,10202
,Jacques Cousteau,,1997,Ocean explorer,6/11/1910,,,,10203
yes,EO Wilson,,2021,Biologist and Writer,6/10/1929,,,,10204
yes,Richard Dawkins,ALIVE,,Evolutionary Bioligist,3/26/1941,,,,10205
,Richard Feynman,,1988,Physicist,5/11/1918,,,,10206
,Carl Sagan,,1996,Astronomer,11/9/1934,,,,10207
,Donald Rumsfeld,,2021,Secretary of defense under George W Bush,7/9/1932,Fun,,6/29/2021,10208
,Dick Cheney,ALIVE,,Vice President under George W Bush,1/30/1941,,,,10209
,Sinbad,ALIVE,,Comedian and star of 'A Different World',11/10/1956,,,,10210
,Nancy Sinatra,ALIVE,,Daughter of Frank and sang 'These Boots Are Made For Walkin',7/8/1940,,,,10211
,James Lipton,,2020,Inside the Actors Studio host,11/19/1926,Fun,,,10212
,Shel Silverstein,,1999,"Wrote 'Where the Sidewalk Ends' and ""The Giving Tree""",11/25/1930,,,,10213
,Joe Lieberman,ALIVE,,VP Running Mate to Al Gore in the year 2000,2/24/1942,Fun,,3/27/2024,10214
yes,William Goldman,,2018,Wrote 'All the Presidents Men' and 'Princess Bride',8/12/1931,DONE,,,10215
,Tom Jones,ALIVE,,Sang 'It's Not Unusual',6/7/1940,,,,10216
yes,Frank Oz,ALIVE,,Yoda voice and Jim Henson's right hand,5/25/1944,,,,10217
,Priscilla Presley,ALIVE,,Ex-wife of Elvis and starred in 'The Naked Gun' movies,5/24/1945,,,,10218
,BB King,,2015,Blues singer from Memphis,9/16/1925,Fun,,,10219
,Paul McCartney,ALIVE,,The Beatles,6/18/1942,,,,10220
,George Harrison,,2001,The Beatles,2/25/1943,,,,10221
,Ringo Starr,ALIVE,,The Beatles,7/7/1940,,,,10222
,Calvin Klein,ALIVE,,Fashion Designer,11/19/1942,,,,10223
,Joan Baez,ALIVE,,Folk singer,1/9/1941,,,,10224
,Muggsy Bogues,ALIVE,,NBA All-Star who is 5 foot 3 inches tall,1/9/1965,,,,10225
,Johnnie Cochran,,2005,Lawyer in OJ trial,10/2/1934,,,,10226
,Bobby Bowden,,2021,Florida State Football Coach,11/8/1929,Fun,,,10227
,John McAfee,,2021,McAfee Antivirus Software,9/18/1945,Fun,,6/23/2021,10228
,Mr. T,ALIVE,,He pitties the fools,5/21/1952,,,,10229
,Dan Quayle,ALIVE,,Former US Vice President under George HW Bush,2/4/1947,,,,10230
,Candice Bergen,ALIVE,,Murphy Brown,5/9/1946,,,,10231
yes,Cesar Milan,ALIVE,,Dog Whisperer,8/27/1969,,,,10232
,Neil Young,ALIVE,,Singer-Songwriter,11/12/1945,,,,10233
,Ozzy Osbourne,ALIVE,,Lead singer of Black Sabbath,12/3/1948,,,,10234
,Chuck Mangione,ALIVE,,Trumpeter and recurring role on 'King of the Hill',11/29/1940,,,,10235
,Norm Macdonald,,2021,SNL Castmember and Comedian,10/17/1959,DONE,,9/14/2021,10236
,Bob Einstein,,2019,Super Dave Osborne and Marty Funkhauser in 'Curb Your Enthusiasm',11/30/1942,DONE,,1/2/2019,10237
,Craig “Evel” Knievel,,2007,Daredevil,10/17/1938,,,,10238
,Dave Winfield,ALIVE,,Baseball Player,10/3/1951,,,,10239
,Sandy Koufax,ALIVE,,Baseball pitcher for the Dodgers,12/30/1935,,,,10240
,Jeff Goldblum,ALIVE,,Actor in 'The Big Chill' and 'Jurassic Park' and 'Independence Day',10/22/1952,,,,10241
,Sandy Duncan,ALIVE,,Actress known for Broadway and TV's 'The Hogan Family',2/20/1946,,,,10242
,Mickey Rooney,,2014,Child actor turned adult actor,9/23/1920,Fun,,,10243
,Ben Vereen,ALIVE,,Actor in Jesus Christ Superstar,10/10/1946,,,,10244
,Jerry Mathers,ALIVE,,Beaver Cleaver,6/2/1948,,,,10245
,Andy Griffith,,2012,TV actor,7/3/1912,,,,10246
,Francis Ford Coppola,ALIVE,,Director of Godfather,4/7/1939,,,,10247
,Neil Simon,,2018,Playwright,7/4/1927,Fun,,,10248
,Jack Kemp,,2009,Congressman and Bob Doles VP Running Mate,7/13/1935,,,,10249
,James Gandolfini,,2013,Tony Soprano,9/18/1961,DONE,,6/19/2013,10250
,Brian Dennehy,,2020,Tommy Boy's dad,7/9/1938,Fun,,,10251
,Loni Anderson,ALIVE,,Actress and Ex-wife of Burt Reynolds,8/5/1945,,,,10252
,Pat Summeral,,2013,NFL broadcaster,5/10/1930,Fun,,,10253
,Paul Simon,ALIVE,,Graceland singer,10/13/1941,,,,10254
,Art Garfunkel,ALIVE,,Simon and,11/5/1941,,,,10255
,Pat Robertson,,2023,Minister and Republican spokesperson,3/22/1930,Fun,,6/8/2023,10256
,Raquel Welch,,2023,Actress and starlet,9/4/1940,Fun,,2/25/2023,10257
,Tammy Faye Bakker,,2007,Evangelist,3/7/1942,,,,10258
,Kenny Rogers,,2020,Country Singer of 'The Gambler' and 'Lucille',8/21/1938,DONE,,3/20/2020,10259
,Donatella Versace,ALIVE,,Fashion Designer,5/2/1955,,,,10260
,RuPaul,ALIVE,,Drag Queen Entertainer,11/17/1960,,,,10261
,Jesse Jackson,ALIVE,,Civil rights activist,10/8/1941,,,,10262
,John Singleton,,2019,Director of Boyz n The Hood,1/6/1968,Fun,,,10263
,Pauly Shore,ALIVE,,The Weasel,2/1/1968,,,,10264
,Dan Rather,ALIVE,,CBS News Anchor,10/31/1931,,,,10265
,Herb Kelleher,,2019,Founder and CEO of Southwest Airlines,3/12/1931,Fun,,,10266
,Lou Reed,,2013,Rock star and lead singer of The Velvet Underground,3/2/1942,Fun,,,10267
,Colin Powell,,2021,Former US Secretary of State,4/5/1937,Fun,,10/18/2021,10268
,Christo,,2020,Landscape installation artist who did 'The Gates',6/13/1935,Fun,,,10269
,Bob Newhart,ALIVE,,Commedian and TV show actor,9/5/1929,,,,10270
,George Martin,,2016,5th Beatle,1/3/1926,Fun,,,10271
,Omar Sharif,,2015,Academy Award winning actor in 'Lawrence of Arabia' and 'Doctor Zhivago',4/10/1932,Fun,,,10272
yes,Kimbo Slice,,2016,MMA Fighter,2/8/1974,Fun,,,10273
,Kirby Puckett,,2006,Baseball Player for Minnesota,3/14/1960,,,,10274
,Jan Hooks,,2014,SNL Castmember,4/23/1957,Fun,,,10275
,Michael Clarke Duncan,,2012,6 ft 5 in actor in 'The Green Mile',12/10/1957,,,,10276
,James Avery,,2013,Fresh Prince of Bel Air' Dad,11/27/1945,Fun?,,,10277
yes,Irrfan Khan,,2020,Bollywood & Hollywood,1/7/1967,Fun?,,,10278
,Chris Tucker,ALIVE,,Actor known for 'Rush Hour' and 'The 5th Element',8/31/1971,,,,10279
,Chuck Norris,ALIVE,,Walker Texas Ranger and martial arts stud,3/10/1940,,,,10280
,Billy Ocean,ALIVE,,Singer known for 'Get Outta My Dreams Get Into My Car',1/21/1950,,,,10281
,Queen Elizabeth II,,2022,Monarch,4/21/1926,Fun,,9/8/2022,10282
,Anne Bancroft,,2005,Played Mrs Robinson in the original 'The Graduate' film,9/17/1931,,,,10283
,Dolly Parton,ALIVE,,Country singer,1/19/1946,,,,10284
,Naomi Judd,,2022,Country singer,1/11/1946,Fun,,4/30/22,10285
,Corey Haim,,2010,Actor in Lucas,12/23/1971,,,,10286
,Arlo Guthrie,ALIVE,,Folk singer and son of folk singer,7/10/1947,,,,10287
,Loretta Lynn,,2022,Country Singer-Songwriter,4/14/1932,Fun,,10/4/2022,10288
,Harry Belafonte,,2023,Singer of 'The Banana Boat Song' aka 'Day-O',3/1/1927,Fun,,4/25/2023,10289
,Joan Rivers,,2014,Comedian,6/8/1933,DONE,,9/4/2014,10290
,Alex Trebek,,2020,Jeopardy host,7/22/1940,DONE,,11/8/2020,10291
,David Carradine,,2009,Bill in 'Kill Bill',12/8/1936,,,,10292
yes,Whitey Herzog,ALIVE,,Baseball Player,11/9/1930,,,,10293
yes,Whitey Ford,,2020,Baseball Player,10/21/1928,Fun,,,10294
,Tony Danza,ALIVE,,TV actor from 'Who's the Boss?' and 'Taxi',4/21/1951,,,,10295
,Craig T Nelson,ALIVE,,The TV show 'Coach',4/4/1944,,,,10296
,Alan Greenspan,ALIVE,,Former Chair of the US Federal Reserve,3/6/1926,,,,10297
,Leslie Nielsen,,2010,Star of 'The Naked Gun' movies,2/1/1926,,,,10298
,Reggie Jackson,ALIVE,,Baseball Player known as Mr October,5/19/1946,,,,10299
,Nick Nolte,ALIVE,,Actor in '48 hours' and frequently appears hungover,2/8/1941,,,,10300
,John Madden,,2021,NFL coach and perhaps more famous announcer,4/10/1936,DONE,,12/28/2021,10301
,Sally Struthers,ALIVE,,Activist for impoverished children and actress from 'All in the Family',7/28/1947,,,,10302
,Stephen Sondheim,,2021,Composer known for 'West Side Story' and 'Sweeney Todd',3/22/1930,,,,10303
,Tony Hsieh,,2020,Zappos founder,1/12/1973,Fun,,,10304
,Shelley Duval,ALIVE,,Actress in The Shining,7/7/1949,,,,10305
,Bill Pullman,ALIVE,,President in 'Independance Day' and Lone Starr in 'Spaceballs',12/17/1953,,,,10306
,Bill Paxton,,2017,Actor in 'Wierd Science' and 'Aliens' and 'Twister',5/17/1955,DONE,,,10307
,Pete Best,ALIVE,,Replaced Ringo in the Beatles,11/24/1941,,,,10308
,Judge Reinhold,ALIVE,,Beverly Hills Cop' and 'Fast Times at Ridgemont High' actor,5/21/1957,,,,10309
,Joe Piscapo,ALIVE,,Saturday Night Live actor,6/17/1951,,,,10310
,Elizabeth Taylor,,2011,Actress and starlet and public figure,2/27/1932,,,,10311
,Tom Brokaw,ALIVE,,News broadcaster,2/6/1940,,,,10312
,Jerry Lewis,,2017,Comedy actor and Telethon host,3/16/1926,Fun,,,10313
,Barbara Walters,,2022,Broadcaster known for her interviewing abiility,9/25/1929,Fun,,12/30/22,10314
yes,Dick Cavett DUPLICATE,ALIVE,,TV personality and comedian and talk show host,11/19/1936,,,,10315
,Rod Stewart,ALIVE,,Rock and Pop Singer,1/10/1945,,,,10316
,Ann-Margret,ALIVE,,Actress in 'Viva Las Vegas' and 'Grumpy Old Men',4/28/1941,,,,10317
,Anne Rice,,2021,Interview with a Vampire' author,10/4/1941,Fun,,12/11/1921,10318
,Pat Buchanan,ALIVE,,Republican spokesperson and political commentator,11/2/1938,,,,10319
